,pgn,uci,name,wdl
129,"['Nc3', 'Nf6', 'g4']","['b1c3', 'g8f6', 'g2g4']",Van Geet Opening: Tübingen Gambit,
130,"['a4', 'e5', 'Ra3']","['a2a4', 'e7e5', 'a1a3']",Ware Opening: Meadow Hay Trap,
131,"['b3', 'd5', 'Ba3']","['b2b3', 'd7d5', 'c1a3']",Nimzo-Larsen Attack: Graz Attack,
132,"['f4', 'e5', 'Nc3']","['f2f4', 'e7e5', 'b1c3']","Bird Opening: From's Gambit, Bahr Gambit",
133,"['f4', 'Nf6', 'c4']","['f2f4', 'g8f6', 'c2c4']",Bird Opening: Mujannah,
134,"['f4', 'f5', 'e4']","['f2f4', 'f7f5', 'e2e4']",Bird Opening: Wagner-Zwitersch Gambit,
135,"['f4', 'd5', 'g4']","['f2f4', 'd7d5', 'g2g4']","Bird Opening: Dutch Variation, Dudweiler Gambit",
136,"['f4', 'd5', 'c4']","['f2f4', 'd7d5', 'c2c4']",Bird Opening: Sturm Gambit,
137,"['f4', 'd5', 'e4']","['f2f4', 'd7d5', 'e2e4']",Bird Opening: Williams Gambit,
138,"['Nf3', 'f5', 'e4']","['g1f3', 'f7f5', 'e2e4']",Zukertort Opening: Lisitsyn Gambit,
139,"['Nf3', 'Nf6', 'b4']","['g1f3', 'g8f6', 'b2b4']",Polish Opening: Zukertort System,
140,"['Nf3', 'Nf6', 'e4']","['g1f3', 'g8f6', 'e2e4']",Zukertort Opening: Lemberger Gambit,
141,"['Nf3', 'Nf6', 'b3']","['g1f3', 'g8f6', 'b2b3']",Zukertort Opening: Nimzo-Larsen Variation,
142,"['Nf3', 'Nf6', 'e3']","['g1f3', 'g8f6', 'e2e3']",Zukertort Opening: Quiet System,
143,"['Nf3', 'd5', 'b3']","['g1f3', 'd7d5', 'b2b3']",Nimzo-Larsen Attack: Classical Variation,
144,"['Nf3', 'd5', 'Rg1']","['g1f3', 'd7d5', 'h1g1']",Zukertort Opening: Ampel Variation,
145,"['Nf3', 'd5', 'd3']","['g1f3', 'd7d5', 'd2d3']",Zukertort Opening: Old Indian Attack,
146,"['Nf3', 'd5', 'Nc3']","['g1f3', 'd7d5', 'b1c3']",Zukertort Opening: Reversed Mexican Defense,
147,"['b4', 'd5', 'Nf3']","['b2b4', 'd7d5', 'g1f3']",Zukertort Opening: Santasiere's Folly,
148,"['e4', 'd5', 'Nf3']","['e2e4', 'd7d5', 'g1f3']",Zukertort Opening: Tennison Gambit,
149,"['Nf3', 'd5', 'a4']","['g1f3', 'd7d5', 'a2a4']",Zukertort Opening: The Potato,
150,"['Nf3', 'd5', 'g3']","['g1f3', 'd7d5', 'g2g3']",King's Indian Attack,
151,"['Nf3', 'd5', 'c4']","['g1f3', 'd7d5', 'c2c4']",Réti Opening,
152,"['c4', 'Nf6', 'e4']","['c2c4', 'g8f6', 'e2e4']",English Opening: Achilles-Omega Gambit,
153,"['c4', 'f5', 'e4']","['c2c4', 'f7f5', 'e2e4']","English Opening: Anglo-Dutch Defense, Hickmann Gambit",
154,"['c4', 'f5', 'g4']","['c2c4', 'f7f5', 'g2g4']",English Opening: Wade Gambit,
155,"['c4', 'e6', 'Nf3']","['c2c4', 'e7e6', 'g1f3']",English Opening: Agincourt Defense,
156,"['Nf3', 'Nf6', 'c4']","['g1f3', 'g8f6', 'c2c4']","English Opening: Anglo-Indian Defense, King's Knight Variation",
157,"['c4', 'Nf6', 'b4']","['c2c4', 'g8f6', 'b2b4']",English Orangutan,
158,"['c4', 'Nf6', 'Nc3']","['c2c4', 'g8f6', 'b1c3']","English Opening: Anglo-Indian Defense, Queen's Knight Variation",
159,"['c4', 'e5', 'Nf3']","['c2c4', 'e7e5', 'g1f3']","English Opening: King's English Variation, Nimzowitsch Variation",
160,"['c4', 'e5', 'Nc3']","['c2c4', 'e7e5', 'b1c3']","English Opening: King's English Variation, Reversed Sicilian",
161,"['c4', 'c5', 'Nf3']","['c2c4', 'c7c5', 'g1f3']",English Opening: Symmetrical Variation,
162,"['c4', 'c5', 'b4']","['c2c4', 'c7c5', 'b2b4']",English Opening: Wing Gambit,
163,"['c4', 'c5', 'Nc3']","['c2c4', 'c7c5', 'b1c3']","English Opening: Symmetrical Variation, Normal Variation",
164,"['d4', 'e5', 'd5']","['d2d4', 'e7e5', 'd4d5']",Englund Gambit Complex Declined,
165,"['d4', 'e5', 'Nf3']","['d2d4', 'e7e5', 'g1f3']",Englund Gambit Declined: Reversed Alekhine,
166,"['d4', 'e5', 'e3']","['d2d4', 'e7e5', 'e2e3']",Englund Gambit Declined: Reversed French,
167,"['d4', 'd6', 'c4']","['d2d4', 'd7d6', 'c2c4']",Old Indian Defense,
168,"['d4', 'c5', 'dxc5']","['d2d4', 'c7c5', 'd4c5']",Benoni Defense: Benoni Gambit Accepted,
169,"['d4', 'c5', 'd5']","['d2d4', 'c7c5', 'd4d5']",Benoni Defense: Old Benoni,
170,"['d4', 'c5', 'b4']","['d2d4', 'c7c5', 'b2b4']",Benoni Defense: Zilbermints-Benoni Gambit,
171,"['d4', 'Nf6', 'f4']","['d2d4', 'g8f6', 'f2f4']",Canard Opening,
172,"['d4', 'Nf6', 'g4']","['d2d4', 'g8f6', 'g2g4']",Indian Defense: Gibbins-Weidenhagen Gambit,
173,"['d4', 'Nf6', 'e4']","['d2d4', 'g8f6', 'e2e4']",Indian Defense: Omega Gambit,
174,"['d4', 'Nf6', 'd5']","['d2d4', 'g8f6', 'd4d5']",Indian Defense: Pawn Push Variation,
175,"['d4', 'Nf6', 'g3']","['d2d4', 'g8f6', 'g2g3']",Indian Defense: Tartakower Attack,
176,"['d4', 'Nf6', 'f3']","['d2d4', 'g8f6', 'f2f3']",Paleface Attack,
177,"['d4', 'Nf6', 'Bg5']","['d2d4', 'g8f6', 'c1g5']",Trompowsky Attack,
178,"['d4', 'Nf6', 'Nf3']","['d2d4', 'g8f6', 'g1f3']",Indian Defense: Knights Variation,
179,"['d4', 'Nf6', 'c4']","['d2d4', 'g8f6', 'c2c4']",Indian Defense: Normal Variation,
180,"['d4', 'f5', 'Qd3']","['d2d4', 'f7f5', 'd1d3']",Dutch Defense: Alapin Variation,
181,"['d4', 'f5', 'Bg5']","['d2d4', 'f7f5', 'c1g5']",Dutch Defense: Hopton Attack,
182,"['d4', 'f5', 'h3']","['d2d4', 'f7f5', 'h2h3']",Dutch Defense: Korchnoi Attack,
183,"['d4', 'f5', 'g4']","['d2d4', 'f7f5', 'g2g4']",Dutch Defense: Krejcik Gambit,
184,"['d4', 'f5', 'Nc3']","['d2d4', 'f7f5', 'b1c3']",Dutch Defense: Raphael Variation,
185,"['d4', 'f5', 'g3']","['d2d4', 'f7f5', 'g2g3']",Dutch Defense: Fianchetto Attack,
186,"['d4', 'f5', 'e4']","['d2d4', 'f7f5', 'e2e4']",Dutch Defense: Staunton Gambit,
187,"['d4', 'f5', 'c4']","['d2d4', 'f7f5', 'c2c4']",Dutch Defense,
188,"['e4', 'Nc6', 'd4']","['e2e4', 'b8c6', 'd2d4']",Nimzowitsch Defense,
189,"['e4', 'Nc6', 'Nf3']","['e2e4', 'b8c6', 'g1f3']",Nimzowitsch Defense: Declined Variation,
190,"['e4', 'Nc6', 'Bb5']","['e2e4', 'b8c6', 'f1b5']",Nimzowitsch Defense: Pseudo-Spanish Variation,
191,"['e4', 'Nc6', 'b4']","['e2e4', 'b8c6', 'b2b4']",Nimzowitsch Defense: Wheeler Gambit,
192,"['e4', 'd6', 'd4']","['e2e4', 'd7d6', 'd2d4']",Pirc Defense,
193,"['e4', 'd6', 'f4']","['e2e4', 'd7d6', 'f2f4']",Rat Defense: Harmonist,
194,"['e4', 'd6', 'h4']","['e2e4', 'd7d6', 'h2h4']",Rat Defense: Petruccioli Attack,
195,"['e4', 'd6', 'g4']","['e2e4', 'd7d6', 'g2g4']",Rat Defense: Spike Attack,
196,"['e4', 'd5', 'b3']","['e2e4', 'd7d5', 'b2b3']",Scandinavian Defense,
197,"['e4', 'd5', 'b4']","['e2e4', 'd7d5', 'b2b4']",Scandinavian Defense: Zilbermints Gambit,
198,"['e4', 'Nf6', 'Bc4']","['e2e4', 'g8f6', 'f1c4']",Alekhine Defense: Krejcik Variation,
199,"['e4', 'Nf6', 'd3']","['e2e4', 'g8f6', 'd2d3']",Alekhine Defense: Maróczy Variation,
200,"['e4', 'c6', 'Nc3']","['e2e4', 'c7c6', 'b1c3']",Caro-Kann Defense,
201,"['e4', 'c6', 'c4']","['e2e4', 'c7c6', 'c2c4']",Caro-Kann Defense: Accelerated Panov Attack,
202,"['e4', 'c6', 'd3']","['e2e4', 'c7c6', 'd2d3']",Caro-Kann Defense: Breyer Variation,
203,"['e4', 'c6', 'b3']","['e2e4', 'c7c6', 'b2b3']",Caro-Kann Defense: Euwe Attack,
204,"['e4', 'c6', 'Bc4']","['e2e4', 'c7c6', 'f1c4']",Caro-Kann Defense: Hillbilly Attack,
205,"['e4', 'c6', 'b4']","['e2e4', 'c7c6', 'b2b4']",Caro-Kann Defense: Labahn Attack,
206,"['e4', 'c6', 'g4']","['e2e4', 'c7c6', 'g2g4']",Caro-Kann Defense: Spike Variation,
207,"['e4', 'c6', 'd4']","['e2e4', 'c7c6', 'd2d4']",Caro-Kann Defense,
208,"['e4', 'c5', 'Qg4']","['e2e4', 'c7c5', 'd1g4']",Sicilian Defense: Amazon Attack,
209,"['e4', 'c5', 'Bc4']","['e2e4', 'c7c5', 'f1c4']",Sicilian Defense: Bowdler Attack,
210,"['e4', 'c5', 'Nh3']","['e2e4', 'c7c5', 'g1h3']",Sicilian Defense: Brick Variation,
211,"['e4', 'c5', 'g4']","['e2e4', 'c7c5', 'g2g4']",Sicilian Defense: Grob Variation,
212,"['e4', 'c5', 'Ne2']","['e2e4', 'c7c5', 'g1e2']",Sicilian Defense: Keres Variation,
213,"['e4', 'c5', 'Ke2']","['e2e4', 'c7c5', 'e1e2']",Sicilian Defense: King David's Opening,
214,"['e4', 'c5', 'Na3']","['e2e4', 'c7c5', 'b1a3']",Sicilian Defense: Kronberger Variation,
215,"['e4', 'c5', 'g3']","['e2e4', 'c7c5', 'g2g3']",Sicilian Defense: Lasker-Dunne Attack,
216,"['e4', 'c5', 'a3']","['e2e4', 'c7c5', 'a2a3']",Sicilian Defense: Mengarini Variation,
217,"['e4', 'c5', 'a4']","['e2e4', 'c7c5', 'a2a4']","Sicilian Defense: Myers Attack, with a4",
218,"['e4', 'c5', 'h4']","['e2e4', 'c7c5', 'h2h4']","Sicilian Defense: Myers Attack, with h4",
219,"['e4', 'c5', 'b3']","['e2e4', 'c7c5', 'b2b3']",Sicilian Defense: Snyder Variation,
220,"['e4', 'c5', 'c4']","['e2e4', 'c7c5', 'c2c4']",Sicilian Defense: Staunton-Cochrane Variation,
221,"['e4', 'c5', 'b4']","['e2e4', 'c7c5', 'b2b4']",Sicilian Defense: Wing Gambit,
222,"['e4', 'c5', 'f4']","['e2e4', 'c7c5', 'f2f4']",Sicilian Defense: McDonnell Attack,
223,"['e4', 'c5', 'd4']","['e2e4', 'c7c5', 'd2d4']",Sicilian Defense: Smith-Morra Gambit,
224,"['e4', 'c5', 'c3']","['e2e4', 'c7c5', 'c2c3']",Sicilian Defense: Alapin Variation,
225,"['e4', 'c5', 'Nc3']","['e2e4', 'c7c5', 'b1c3']",Sicilian Defense: Closed,
226,"['e4', 'c5', 'Nf3']","['e2e4', 'c7c5', 'g1f3']",Sicilian Defense,
227,"['e4', 'e6', 'b4']","['e2e4', 'e7e6', 'b2b4']",French Defense: Banzai-Leong Gambit,
228,"['e4', 'e6', 'Bb5']","['e2e4', 'e7e6', 'f1b5']",French Defense: Bird Invitation,
229,"['e4', 'e6', 'Qe2']","['e2e4', 'e7e6', 'd1e2']",French Defense: Chigorin Variation,
230,"['e4', 'e6', 'b3']","['e2e4', 'e7e6', 'b2b3']",French Defense: Horwitz Attack,
231,"['e4', 'e6', 'd3']","['e2e4', 'e7e6', 'd2d3']",French Defense: King's Indian Attack,
232,"['e4', 'e6', 'Nf3']","['e2e4', 'e7e6', 'g1f3']",French Defense: Knight Variation,
233,"['e4', 'e6', 'f4']","['e2e4', 'e7e6', 'f2f4']",French Defense: La Bourdonnais Variation,
234,"['e4', 'e6', 'd4']","['e2e4', 'e7e6', 'd2d4']",French Defense: Normal Variation,
235,"['e4', 'e6', 'Nc3']","['e2e4', 'e7e6', 'b1c3']",French Defense: Queen's Knight,
236,"['e4', 'e6', 'g3']","['e2e4', 'e7e6', 'g2g3']",French Defense: Réti-Spielmann Attack,
237,"['e4', 'e6', 'c4']","['e2e4', 'e7e6', 'c2c4']",French Defense: Steiner Variation,
238,"['e4', 'e6', 'e5']","['e2e4', 'e7e6', 'e4e5']",French Defense: Steinitz Attack,
239,"['e4', 'e5', 'Ke2']","['e2e4', 'e7e5', 'e1e2']",Bongcloud Attack,
240,"['e4', 'e5', 'd4']","['e2e4', 'e7e5', 'd2d4']",Center Game,
241,"['e4', 'e5', 'c4']","['e2e4', 'e7e5', 'c2c4']",English Opening: The Whale,
242,"['e4', 'e5', 'Ne2']","['e2e4', 'e7e5', 'g1e2']",King's Pawn Game: Alapin Opening,
243,"['e4', 'e5', 'f3']","['e2e4', 'e7e5', 'f2f3']",King's Pawn Game: King's Head Opening,
244,"['e4', 'e5', 'd3']","['e2e4', 'e7e5', 'd2d3']",King's Pawn Game: Leonardis Variation,
245,"['e4', 'e5', 'c3']","['e2e4', 'e7e5', 'c2c3']",King's Pawn Game: Macleod Attack,
246,"['e4', 'e5', 'a3']","['e2e4', 'e7e5', 'a2a3']",King's Pawn Game: Mengarini's Opening,
247,"['e4', 'e5', 'Qf3']","['e2e4', 'e7e5', 'd1f3']",King's Pawn Game: Napoleon Attack,
248,"['e4', 'e5', 'Bd3']","['e2e4', 'e7e5', 'f1d3']",King's Pawn Game: Tortoise Opening,
249,"['e4', 'e5', 'Qh5']","['e2e4', 'e7e5', 'd1h5']",King's Pawn Game: Wayward Queen Attack,
250,"['e4', 'e5', 'b3']","['e2e4', 'e7e5', 'b2b3']",King's Pawn Opening,
251,"['e4', 'e5', 'Bb5']","['e2e4', 'e7e5', 'f1b5']",Portuguese Opening,
252,"['e4', 'e5', 'Bc4']","['e2e4', 'e7e5', 'f1c4']",Bishop's Opening,
253,"['e4', 'e5', 'Nc3']","['e2e4', 'e7e5', 'b1c3']",Vienna Game,
254,"['e4', 'e5', 'f4']","['e2e4', 'e7e5', 'f2f4']",King's Gambit,
255,"['e4', 'e5', 'Nf3']","['e2e4', 'e7e5', 'g1f3']",King's Knight Opening,
256,"['d4', 'd5', 'Qd3']","['d2d4', 'd7d5', 'd1d3']",Amazon Attack,
257,"['d4', 'd5', 'e4']","['d2d4', 'd7d5', 'e2e4']",Blackmar-Diemer Gambit,
258,"['d4', 'd5', 'e3']","['d2d4', 'd7d5', 'e2e3']",Queen's Pawn Game,
259,"['d4', 'd5', 'Bf4']","['d2d4', 'd7d5', 'c1f4']",Queen's Pawn Game: Accelerated London System,
260,"['d4', 'd5', 'Nc3']","['d2d4', 'd7d5', 'b1c3']",Queen's Pawn Game: Chigorin Variation,
261,"['d4', 'd5', 'Bg5']","['d2d4', 'd7d5', 'c1g5']",Queen's Pawn Game: Levitsky Attack,
262,"['d4', 'd5', 'f4']","['d2d4', 'd7d5', 'f2f4']",Queen's Pawn Game: Mason Attack,
263,"['d4', 'd5', 'g4']","['d2d4', 'd7d5', 'g2g4']",Queen's Pawn Game: Zurich Gambit,
264,"['d4', 'd5', 'Nf3']","['d2d4', 'd7d5', 'g1f3']",Queen's Pawn Game: Zukertort Variation,
265,"['d4', 'd5', 'c4']","['d2d4', 'd7d5', 'c2c4']",Queen's Gambit,
266,"['f3', 'e5', 'g4', 'Qh4#']","['f2f3', 'e7e5', 'g2g4', 'd8h4']",Barnes Opening: Fool's Mate,
267,"['h3', 'd5', 'a3', 'e5']","['h2h3', 'd7d5', 'a2a3', 'e7e5']",Creepy Crawly Formation: Classical Defense,
268,"['g4', 'd5', 'Bg2', 'c6']","['g2g4', 'd7d5', 'f1g2', 'c7c6']",Grob Opening: Grob Gambit Declined,
269,"['g4', 'e5', 'h3', 'Nc6']","['g2g4', 'e7e5', 'h2h3', 'b8c6']",Grob Opening: London Defense,
270,"['g3', 'd5', 'Bg2', 'e6']","['g2g3', 'd7d5', 'f1g2', 'e7e6']",Hungarian Opening: Catalan Formation,
271,"['g3', 'd5', 'Bg2', 'c5']","['g2g3', 'd7d5', 'f1g2', 'c7c5']",Hungarian Opening: Reversed Modern Defense,
272,"['g3', 'd5', 'Bg2', 'c6']","['g2g3', 'd7d5', 'f1g2', 'c7c6']",Hungarian Opening: Slav Formation,
273,"['g3', 'h5', 'Nf3', 'h4']","['g2g3', 'h7h5', 'g1f3', 'h5h4']",Hungarian Opening: Van Kuijk Gambit,
274,"['b4', 'd5', 'Bb2', 'Bf5']","['b2b4', 'd7d5', 'c1b2', 'c8f5']",Polish Opening: Baltic Defense,
